"Gene","ModuleColor"
"A4GNT.10835.25.3",0
"GCNT4.10842.7.3",2
"SIGLEC15.10847.1.3",2
"BTNL3.10848.137.3",1
"EBI3.10851.77.3",4
"HNRNPDL.10852.114.3",3
"PPP4R3A.10866.60.3",3
"BRAT1.10876.300.3",0
"FAM163B.10880.38.3",1
"DSC1.10882.12.3",2
"C6orf89.10885.36.3",0
"MRAP2.10889.2.3",0
"LCTL.10890.135.3",0
"OSMR.10892.8.3",0
"TMPRSS11B.10895.28.3",0
"STMN2.10900.272.3",1
"ASPRV1.10902.53.3",0
"STX8.10903.50.3",1
"NTM.10907.116.3",4
"GALNT13.10908.2.3",0
"CEACAM4.10910.6.3",3
"PLA2R1.10916.44.3",4
"GNGT2.10917.40.3",1
"CYB5D2.10924.258.3",4
"CALN1.10933.107.3",1
"CD58.10938.13.3",0
"PLEKHA4.10939.16.3",0
"SRL.10940.25.3",1
"STX6.10945.11.3",0
"PLD3.10948.14.3",1
"RPLP2.10949.59.3",0
"CLEC2A.10953.14.3",1
"CLEC10A.10955.4.3",0
"GCSH.10956.82.3",0
"BET1L.10959.125.3",0
"PLAAT4.10961.15.3",0
"SPINK7.10974.20.3",4
"MUCL1.10975.59.3",0
"UCMA.10977.55.3",0
"GH2.10978.39.3",0
"NRG3.10981.56.3",0
"LRRK2.10990.21.3",2
"BGLAP.11067.13.3",0
"IL5.11071.1.3",0
"IGHA1.IGHA2.11089.7.3",0
"CLC.11094.104.3",0
"N6AMT1.11096.57.3",1
"PDXK.11098.1.3",3
"TLR4.11101.18.3",0
"REG4.11102.22.3",4
"HSPB1.11103.24.3",1
"CHI3L1.11104.13.3",0
"ENO1.11105.171.3",1
"TENM3.11107.25.3",1
"SVEP1.11109.56.3",0
"TMEM119.11110.4.3",2
"TMEM167A.11112.18.3",0
"C11orf87.11116.16.3",0
"SPATA20.11117.2.3",0
"RAB17.11118.107.3",2
"NAT14.11120.49.3",2
"SPG21.11122.97.3",1
"TRIO.11126.102.3",0
"TMEM132C.11128.29.3",0
"BMP15.11129.66.3",2
"CACNB4.11130.158.3",1
"MTRF1L.11134.30.3",1
"MRPL55.11135.5.3",1
"CSF2RB.11137.43.3",2
"RUNX3.11138.16.3",3
"COL1A1.11140.56.3",0
"ANGPTL1.11142.11.3",0
"OLFM3.11143.32.3",1
"DEFB116.11144.10.3",0
"KIAA1549L.11145.72.3",0
"TBX22.11146.4.3",1
"TREML1.11147.17.3",1
"TLR1.11149.3.3",1
"KLK13.11152.46.3",4
"NFE2L1.11154.3.3",0
"COL6A5.11155.16.3",0
"HSPA1A.11157.35.3",1
"BICDL1.11158.40.3",0
"RNF122.11160.56.3",7
"SPART.11161.5.3",1
"EQTN.11162.37.3",0
"FAM162B.11163.7.3",0
"TENM2.11164.7.3",2
"MTMR1.11167.6.3",2
"MEGF10.11168.3.3",0
"FLNA.11171.25.3",1
"MILR1.11173.29.3",0
"THSD7A.11174.8.3",0
"LPCAT2.11175.45.3",0
"KRT5.11177.16.3",0
"SVEP1.11178.21.3",1
"TSSK1B.11179.7.3",0
"SMARCC1.11180.17.3",0
"GCH1.11185.145.3",2
"TMEM52.11186.12.3",0
"CLEC12A.11187.11.3",0
"YME1L1.11190.129.3",0
"TINAGL1.11192.168.3",4
"HNF1A.11193.27.3",0
"SIT1.11194.6.3",0
"COL6A3.11196.31.3",4
"CREB3L1.11198.37.3",1
"PUS1.11201.19.3",0
"TBX5.11202.70.3",0
"CXADR.11204.80.3",3
"ITGB7.11205.10.3",3
"MSR1.11207.3.3",0
"NAGPA.11208.15.3",4
"TBCE.11211.7.3",1
"TXNDC5.11212.7.3",1
"DNAJB9.11214.40.3",1
"CDH15.11215.6.3",0
"CTBP1.11217.16.3",1
"TPMT.11218.84.3",5
"FGFBP3.11219.95.3",4
"C10orf105.11220.53.3",0
"TMEM154.11223.1.3",1
"UBE3A.11226.16.3",1
"TBL2.11227.31.3",1
"RIC3.11228.37.3",2
"ERN1.11229.16.3",0
"FDX2.11231.12.3",0
"PCOLCE.11237.49.3",0
"TMPRSS6.11239.49.3",1
"ASL.11241.8.3",0
"TGM1.11242.33.3",0
"ADGRF1.11243.90.3",0
"NAGS.11247.20.3",0
"UROS.11248.43.3",1
"LRCH4.11252.30.3",2
"PAPLN.11254.13.3",0
"QDPR.11257.1.3",1
"MADCAM1.11258.41.3",1
"SUN5.11260.47.3",0
"TRABD.11262.39.3",4
"CASQ1.11263.57.3",0
"XDH.11264.33.3",0
"ALDH1A1.11265.8.3",1
"SELPLG.11266.8.3",4
"CHCHD10.11270.17.3",0
"GSTT2B.11273.176.3",0
"LRP1B.11275.94.3",3
"ATF6.11277.23.3",0
"COL11A2.11278.4.3",4
"GABBR1.11279.42.3",0
"GAD1.11280.6.3",0
"GRB7.11281.6.3",2
"DCAF5.11283.13.3",2
"LAIR1.11284.24.3",1
"SELENOS.11286.78.3",3
"CYB5A.11287.14.3",0
"NT5C2.11288.26.3",1
"CSNK1D.11289.31.3",0
"SCARA3.11292.13.3",2
"LRRN1.11293.14.3",0
"NOTCH2.11297.54.3",0
"SORT1.11300.32.3",0
"TNR.11302.237.3",2
"SAMHD1.11303.7.3",1
"WWP1.11307.33.3",1
"CREB3L4.11308.8.3",1
"RAG1.11311.79.3",0
"PMS2.11312.40.3",0
"PCBD1.11313.100.3",0
"PPM1D.11315.148.3",1
"MRE11.11319.106.3",1
"CHFR.11320.29.3",0
"PXDNL.11324.3.3",0
"BTG2.11325.8.3",2
"CLK2.11327.56.3",2
"USB1.11328.9.3",1
"CSNK2B.11330.15.3",0
"ARHGAP25.11333.82.3",1
"LILRB3.11334.7.3",0
"FANCF.11336.9.3",0
"BLK.11338.49.3",0
"PLXDC2.11342.59.3",1
"TALDO1.11347.9.3",1
"P4HA2.11348.132.3",0
"STUB1.11350.30.3",1
"NHEJ1.11351.233.3",1
"TTN.11352.42.3",0
"PLCB1.11354.21.3",1
"EIF5A2.11355.10.3",1
"ESS2.11356.19.3",0
"GRB10.11358.15.3",1
"RRM1.11360.39.3",0
"TYMP.11361.73.3",1
"AQP4.11363.58.3",1
"MFN1.11364.18.3",0
"TENM4.11365.17.3",0
"AK2.11368.32.3",1
"ADH5.11369.23.3",1
"INPP5E.11370.20.3",5
"GPR101.11371.1.3",0
"ZNF18.11372.2.3",2
"FOXL2.11375.49.3",0
"ADH7.11377.19.3",1
"SYK.11378.37.3",1
"RBM24.11380.84.3",2
"PRPS1.11381.56.3",0
"BLVRA.11382.5.3",1
"KRT7.11383.41.3",2
"ATF6B.11387.3.3",0
"WFDC2.11388.75.3",4
"CA8.11390.24.3",0
"MVK.11391.69.3",0
"PTK2B.11395.5.3",1
"DNAI1.11396.39.3",2
"RNF146.11401.181.3",1
"KMT2C.11402.17.3",0
"CARD9.11405.150.3",2
"ACAD8.11406.82.3",0
"PLSCR3.11407.57.3",0
"FBXL4.11416.23.3",0
"EHD4.11421.10.3",1
"DLX3.11422.2.3",0
"FAH.11424.4.3",0
"RUFY1.11425.31.3",1
"PDLIM1.11428.31.3",1
"HNRNPC.11429.80.3",2
"DTX1.11430.49.3",3
"RECQL.11431.235.3",3
"PQBP1.11432.11.3",1
"TCTN2.11433.11.3",0
"INA.11436.6.3",3
"DNAJB2.11438.6.3",1
"RHPN2.11439.88.3",2
"SOCS3.11440.58.3",0
"PYGL.11441.11.3",1
"DNER.11442.1.3",0
"POLR3F.11444.49.3",0
"GALK1.11448.34.3",1
"CAPZA1.11449.22.3",1
"EIF3G.11454.87.3",1
"MAGEB10.11456.2.3",2
"GALE.11457.53.3",7
"PCBP1.11458.30.3",1
"ELL.11459.81.3",2
"RBFOX2.11462.8.3",0
"RELB.11464.9.3",2
"GPR135.11465.4.3",1
"RBM19.11468.15.3",3
"VPS4A.11476.43.3",1
"ALDH3A1.11480.1.3",0
"HAVCR2.11481.25.3",0
"ZNF174.11486.26.3",0
"UBL4A.11490.42.3",1
"DYNLL2.11493.169.3",1
"ELL2.11494.4.3",0
"APOL1.11510.31.3",0
"CD38.11513.92.3",1
"CD59.11514.196.3",4
"FABP1.11516.7.3",4
"HMBS.11530.37.3",0
"VSIR.11531.24.3",1
"LRIT3.11534.6.3",0
"MYSM1.11536.9.3",0
"TFR2.11537.12.3",0
"MLYCD.11538.216.3",1
"ATP5MF.11539.4.3",2
"FOXO3.11540.37.3",1
"TMEM230.11542.11.3",0
