"Gene","ModuleColor"
"ADAM7.10753.31.3",1
"PROK2.10754.113.3",1
"UCN3.10756.34.3",1
"KERA.10758.2.3",1
"GRIA4.10760.107.3",2
"TMED2.10761.5.3",2
"KLRG2.10762.2.3",1
"ADGRG2.10767.52.3",1
"CSGALNACT2.10772.21.3",1
"CLEC4G.10781.19.3",1
"LRRC52.10785.8.3",1
"CD300E.10798.4.3",1
"SERPINH1.10800.15.3",1
"HSPA1A.10803.22.3",1
"KLRB1.10809.14.3",1
"CD1A.10814.7.3",1
"HABP4.10815.2.3",0
"PILRA.10816.150.3",0
"TOMM20L.10817.26.3",1
"SMPD1.10818.36.3",1
"VSIG10.10825.12.3",1
"LINGO3.10827.67.3",2
"EFCAB14.10830.5.3",0
"B4GALT6.10832.24.3",2
"HHIP.10833.64.3",2
"A4GNT.10835.25.3",1
"GCNT4.10842.7.3",1
"SIGLEC15.10847.1.3",1
"BTNL3.10848.137.3",1
"EBI3.10851.77.3",1
"HNRNPDL.10852.114.3",3
"PPP4R3A.10866.60.3",1
"BRAT1.10876.300.3",1
"FAM163B.10880.38.3",2
"DSC1.10882.12.3",1
"C6orf89.10885.36.3",1
"MRAP2.10889.2.3",1
"LCTL.10890.135.3",1
"OSMR.10892.8.3",1
"TMPRSS11B.10895.28.3",1
"STMN2.10900.272.3",2
"ASPRV1.10902.53.3",0
"STX8.10903.50.3",2
"NTM.10907.116.3",2
"GALNT13.10908.2.3",2
"CEACAM4.10910.6.3",1
"PLA2R1.10916.44.3",1
"GNGT2.10917.40.3",1
"CYB5D2.10924.258.3",1
"CALN1.10933.107.3",0
"CD58.10938.13.3",1
"PLEKHA4.10939.16.3",1
"SRL.10940.25.3",1
"STX6.10945.11.3",1
"PLD3.10948.14.3",2
"RPLP2.10949.59.3",1
"CLEC2A.10953.14.3",1
"CLEC10A.10955.4.3",1
"GCSH.10956.82.3",1
"BET1L.10959.125.3",1
"PLAAT4.10961.15.3",1
"SPINK7.10974.20.3",1
"MUCL1.10975.59.3",1
"UCMA.10977.55.3",2
"GH2.10978.39.3",1
"NRG3.10981.56.3",2
"LRRK2.10990.21.3",1
"BGLAP.11067.13.3",1
"IL5.11071.1.3",1
"IGHA1.IGHA2.11089.7.3",4
"CLC.11094.104.3",1
"N6AMT1.11096.57.3",1
"PDXK.11098.1.3",3
"TLR4.11101.18.3",0
"REG4.11102.22.3",0
"HSPB1.11103.24.3",1
"CHI3L1.11104.13.3",0
"ENO1.11105.171.3",1
"TENM3.11107.25.3",1
"SVEP1.11109.56.3",2
"TMEM119.11110.4.3",1
"TMEM167A.11112.18.3",1
"C11orf87.11116.16.3",2
"SPATA20.11117.2.3",1
"RAB17.11118.107.3",1
"NAT14.11120.49.3",1
"SPG21.11122.97.3",0
"TRIO.11126.102.3",1
"TMEM132C.11128.29.3",0
"BMP15.11129.66.3",1
"CACNB4.11130.158.3",2
"MTRF1L.11134.30.3",1
"MRPL55.11135.5.3",0
"CSF2RB.11137.43.3",1
"RUNX3.11138.16.3",1
"COL1A1.11140.56.3",1
"ANGPTL1.11142.11.3",2
"OLFM3.11143.32.3",1
"DEFB116.11144.10.3",1
"KIAA1549L.11145.72.3",2
"TBX22.11146.4.3",0
"TREML1.11147.17.3",1
"TLR1.11149.3.3",1
"KLK13.11152.46.3",0
"NFE2L1.11154.3.3",1
"COL6A5.11155.16.3",1
"HSPA1A.11157.35.3",2
"BICDL1.11158.40.3",1
"RNF122.11160.56.3",1
"SPART.11161.5.3",0
"EQTN.11162.37.3",5
"FAM162B.11163.7.3",1
"TENM2.11164.7.3",0
"MTMR1.11167.6.3",1
"MEGF10.11168.3.3",1
"FLNA.11171.25.3",1
"MILR1.11173.29.3",1
"THSD7A.11174.8.3",1
"LPCAT2.11175.45.3",1
"KRT5.11177.16.3",2
"SVEP1.11178.21.3",2
"TSSK1B.11179.7.3",1
"SMARCC1.11180.17.3",1
"GCH1.11185.145.3",0
"TMEM52.11186.12.3",1
"CLEC12A.11187.11.3",0
"YME1L1.11190.129.3",1
"TINAGL1.11192.168.3",0
"HNF1A.11193.27.3",1
"SIT1.11194.6.3",1
"COL6A3.11196.31.3",2
"CREB3L1.11198.37.3",0
"PUS1.11201.19.3",1
"TBX5.11202.70.3",1
"CXADR.11204.80.3",1
"ITGB7.11205.10.3",2
"MSR1.11207.3.3",1
"NAGPA.11208.15.3",2
"TBCE.11211.7.3",0
"TXNDC5.11212.7.3",2
"DNAJB9.11214.40.3",2
"CDH15.11215.6.3",1
"CTBP1.11217.16.3",1
"TPMT.11218.84.3",1
"FGFBP3.11219.95.3",1
"C10orf105.11220.53.3",1
"TMEM154.11223.1.3",1
"UBE3A.11226.16.3",1
"TBL2.11227.31.3",1
"RIC3.11228.37.3",0
"ERN1.11229.16.3",1
"FDX2.11231.12.3",0
"PCOLCE.11237.49.3",1
"TMPRSS6.11239.49.3",1
"ASL.11241.8.3",1
"TGM1.11242.33.3",1
"ADGRF1.11243.90.3",1
"NAGS.11247.20.3",1
"UROS.11248.43.3",0
"LRCH4.11252.30.3",1
"PAPLN.11254.13.3",1
"QDPR.11257.1.3",2
"MADCAM1.11258.41.3",1
"SUN5.11260.47.3",1
"TRABD.11262.39.3",1
"CASQ1.11263.57.3",1
"XDH.11264.33.3",0
"ALDH1A1.11265.8.3",1
"SELPLG.11266.8.3",0
"CHCHD10.11270.17.3",2
"GSTT2B.11273.176.3",1
"LRP1B.11275.94.3",1
"ATF6.11277.23.3",2
"COL11A2.11278.4.3",0
"GABBR1.11279.42.3",1
"GAD1.11280.6.3",0
"GRB7.11281.6.3",1
"DCAF5.11283.13.3",1
"LAIR1.11284.24.3",1
"SELENOS.11286.78.3",1
"CYB5A.11287.14.3",1
"NT5C2.11288.26.3",1
"CSNK1D.11289.31.3",1
"SCARA3.11292.13.3",1
"LRRN1.11293.14.3",0
"NOTCH2.11297.54.3",1
"SORT1.11300.32.3",1
"TNR.11302.237.3",1
"SAMHD1.11303.7.3",1
"WWP1.11307.33.3",1
"CREB3L4.11308.8.3",2
"RAG1.11311.79.3",1
"PMS2.11312.40.3",1
"PCBD1.11313.100.3",1
"PPM1D.11315.148.3",1
"MRE11.11319.106.3",1
"CHFR.11320.29.3",1
"PXDNL.11324.3.3",1
"BTG2.11325.8.3",1
"CLK2.11327.56.3",1
"USB1.11328.9.3",1
"CSNK2B.11330.15.3",1
"ARHGAP25.11333.82.3",1
"LILRB3.11334.7.3",1
"FANCF.11336.9.3",1
"BLK.11338.49.3",1
"PLXDC2.11342.59.3",1
"TALDO1.11347.9.3",1
"P4HA2.11348.132.3",1
"STUB1.11350.30.3",1
"NHEJ1.11351.233.3",1
"TTN.11352.42.3",1
"PLCB1.11354.21.3",2
"EIF5A2.11355.10.3",1
"ESS2.11356.19.3",1
"GRB10.11358.15.3",1
"RRM1.11360.39.3",3
"TYMP.11361.73.3",1
"AQP4.11363.58.3",1
"MFN1.11364.18.3",1
"TENM4.11365.17.3",1
"AK2.11368.32.3",1
"ADH5.11369.23.3",1
"INPP5E.11370.20.3",1
"GPR101.11371.1.3",1
"ZNF18.11372.2.3",1
"FOXL2.11375.49.3",1
"ADH7.11377.19.3",2
"SYK.11378.37.3",1
"RBM24.11380.84.3",0
"PRPS1.11381.56.3",1
"BLVRA.11382.5.3",1
"KRT7.11383.41.3",1
"ATF6B.11387.3.3",1
